epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.8685,1.62035,4.02068,1.5968,0.23541,0.13722,0.02534,0.01013,2.27752,3.71367,1.94582,0.000237,0.000237,0.000237
2,129.599,1.74989,3.26217,1.6666,0.0641,0.15293,0.05193,0.03152,2.1906,3.5388,1.9506,0.000465595,0.000465595,0.000465595
3,189.591,1.78611,3.27853,1.69598,0.10013,0.12931,0.04519,0.0201,2.21726,3.38594,2.01571,0.000684765,0.000684765,0.000684765
4,248.918,1.78051,3.21114,1.69466,0.38088,0.11111,0.04024,0.02282,2.11486,3.62707,1.89237,0.000671588,0.000671588,0.000671588
5,308.143,1.74487,3.16864,1.67974,0.07886,0.08887,0.04096,0.02063,2.1968,3.34961,1.95863,0.000657451,0.000657451,0.000657451
6,367.332,1.70023,3.08101,1.64159,0.11673,0.17744,0.04643,0.01936,2.17626,3.47422,1.90575,0.000643314,0.000643314,0.000643314
7,426.541,1.68571,3.02658,1.63362,0.28415,0.10782,0.04398,0.02236,2.08751,3.22971,1.90155,0.000629177,0.000629177,0.000629177
8,485.709,1.67245,2.96687,1.62135,0.16975,0.16798,0.06569,0.03764,2.06273,3.29633,1.8416,0.00061504,0.00061504,0.00061504
9,545.436,1.62421,2.89696,1.60451,0.31809,0.1316,0.0688,0.03331,2.07276,3.30146,1.86315,0.000600902,0.000600902,0.000600902
10,604.913,1.62753,2.89237,1.59267,0.10609,0.1395,0.05085,0.02641,2.13548,3.55436,1.94611,0.000586765,0.000586765,0.000586765
11,664.299,1.63068,2.78995,1.5962,0.10154,0.16072,0.06512,0.03357,2.14564,3.28428,1.91214,0.000572628,0.000572628,0.000572628
12,723.657,1.58433,2.76975,1.57307,0.12683,0.18434,0.0562,0.02746,2.10497,3.32326,1.87858,0.000558491,0.000558491,0.000558491
13,782.907,1.55747,2.7287,1.55078,0.13721,0.2079,0.06966,0.03461,2.09744,3.16464,1.8796,0.000544354,0.000544354,0.000544354
14,842.174,1.55827,2.69237,1.55763,0.28537,0.21875,0.08583,0.03759,2.06351,3.11876,1.80489,0.000530216,0.000530216,0.000530216
15,901.967,1.53837,2.62526,1.5369,0.13082,0.17674,0.07634,0.03713,2.00673,3.04689,1.79088,0.000516079,0.000516079,0.000516079
16,961.397,1.5268,2.61268,1.52763,0.31379,0.207,0.0887,0.05018,2.05929,3.03557,1.84562,0.000501942,0.000501942,0.000501942
17,1021.22,1.55669,2.55457,1.52988,0.12205,0.14723,0.07029,0.0385,1.98714,3.24018,1.76046,0.000487805,0.000487805,0.000487805
18,1080.61,1.4826,2.52034,1.49839,0.13888,0.26259,0.0985,0.05197,1.99348,2.93901,1.8168,0.000473668,0.000473668,0.000473668
19,1140.63,1.45949,2.47924,1.47686,0.26914,0.25572,0.08878,0.04795,2.0275,3.19063,1.77282,0.00045953,0.00045953,0.00045953
20,1200.06,1.45098,2.44317,1.47875,0.18001,0.22126,0.09444,0.04789,2.03421,2.99452,1.81344,0.000445393,0.000445393,0.000445393
21,1259.58,1.45609,2.40847,1.48621,0.13267,0.23587,0.08885,0.04541,2.0224,2.92094,1.8,0.000431256,0.000431256,0.000431256
