epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.0677,1.67766,4.02583,1.60319,0.27414,0.11067,0.04696,0.02786,2.17023,3.56331,1.9073,0.000237375,0.000237375,0.000237375
2,139.489,1.7822,3.39997,1.67915,0.10175,0.08677,0.03252,0.01506,2.16195,3.97273,1.95565,0.000465963,0.000465963,0.000465963
3,201.754,1.82189,3.40347,1.74985,0.10401,0.14695,0.03209,0.01233,2.28224,3.71552,1.99445,0.000685126,0.000685126,0.000685126
4,263.921,1.83161,3.34336,1.73931,0.07696,0.08576,0.03307,0.01595,2.11069,3.6765,1.93136,0.000671588,0.000671588,0.000671588
5,326.097,1.76906,3.23964,1.72146,0.07916,0.09887,0.0466,0.02411,2.15673,3.57471,1.91772,0.000657451,0.000657451,0.000657451
6,388.251,1.70147,3.1526,1.66852,0.27268,0.10887,0.04532,0.02371,2.1117,3.51405,1.92749,0.000643314,0.000643314,0.000643314
7,450.407,1.72064,3.11837,1.67554,0.11833,0.12136,0.05088,0.02244,2.06754,3.39681,1.88656,0.000629177,0.000629177,0.000629177
8,512.611,1.70683,3.09558,1.65212,0.24982,0.16684,0.04406,0.01778,2.09074,3.56548,1.89224,0.00061504,0.00061504,0.00061504
9,574.778,1.64932,3.02054,1.64672,0.10858,0.12608,0.04957,0.02308,2.05272,3.3523,1.87497,0.000600902,0.000600902,0.000600902
10,637.005,1.6737,3.03608,1.63996,0.0938,0.19268,0.07324,0.0336,2.02997,3.20921,1.86979,0.000586765,0.000586765,0.000586765
11,699.637,1.62711,2.94658,1.60658,0.13855,0.09962,0.06766,0.03485,1.98719,3.20187,1.8044,0.000572628,0.000572628,0.000572628
12,762.248,1.60382,2.90219,1.59136,0.27212,0.19719,0.06219,0.02948,2.03641,3.34001,1.84804,0.000558491,0.000558491,0.000558491
13,824.41,1.58626,2.85819,1.58044,0.12324,0.20612,0.08244,0.04223,1.94305,3.26192,1.77765,0.000544354,0.000544354,0.000544354
14,887.07,1.5761,2.81238,1.57316,0.09157,0.17984,0.07051,0.03511,1.97984,3.14582,1.79493,0.000530216,0.000530216,0.000530216
15,949.155,1.55575,2.79249,1.5722,0.14242,0.20151,0.07276,0.03727,1.96262,3.13779,1.8031,0.000516079,0.000516079,0.000516079
16,1011.48,1.55862,2.81556,1.55892,0.09555,0.12994,0.05691,0.02733,1.97937,3.16256,1.76496,0.000501942,0.000501942,0.000501942
17,1073.78,1.55815,2.7103,1.54774,0.16539,0.14559,0.06854,0.03206,2.00164,3.1974,1.76999,0.000487805,0.000487805,0.000487805
18,1136.01,1.54741,2.72178,1.54499,0.30935,0.18912,0.07376,0.03728,1.91867,3.10178,1.72068,0.000473668,0.000473668,0.000473668
19,1198.25,1.51498,2.66761,1.52529,0.18864,0.19012,0.08814,0.04151,1.95889,3.0108,1.78506,0.00045953,0.00045953,0.00045953
